precinct,votes,ja'mal green,%,sophia king,%,kam buckner,%,willie l. wilson,%,brandon johnson,%,paul vallas,%,lori e. lightfoot,%,roderick t. sawyer,%,"jesus ""chuy"" garcia",%,ward
18,447,5,1.12%,5,1.12%,24,5.37%,7,1.57%,178,39.82%,143,31.99%,35,7.83%,1,0.22%,49,10.96%,Ward 1
19,412,8,1.94%,5,1.21%,22,5.34%,11,2.67%,157,38.11%,114,27.67%,28,6.80%,1,0.24%,66,16.02%,Ward 1
20,419,7,1.67%,10,2.39%,15,3.58%,6,1.43%,139,33.17%,149,35.56%,41,9.79%,1,0.24%,51,12.17%,Ward 1
21,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 1
22,527,13,2.47%,2,0.38%,18,3.42%,16,3.04%,200,37.95%,165,31.31%,52,9.87%,2,0.38%,59,11.20%,Ward 1
23,284,2,0.70%,1,0.35%,16,5.63%,5,1.76%,104,36.62%,106,37.32%,14,4.93%,4,1.41%,32,11.27%,Ward 1
24,670,8,1.19%,8,1.19%,16,2.39%,17,2.54%,214,31.94%,259,38.66%,52,7.76%,4,0.60%,92,13.73%,Ward 1
25,563,7,1.24%,3,0.53%,22,3.91%,20,3.55%,164,29.13%,220,39.08%,34,6.04%,1,0.18%,92,16.34%,Ward 1
26,586,15,2.56%,4,0.68%,34,5.80%,10,1.71%,172,29.35%,231,39.42%,46,7.85%,1,0.17%,73,12.46%,Ward 1
1,481,7,1.46%,3,0.62%,14,2.91%,21,4.37%,39,8.11%,285,59.25%,64,13.31%,7,1.46%,41,8.52%,Ward 2
2,743,4,0.54%,13,1.75%,17,2.29%,26,3.50%,68,9.15%,473,63.66%,83,11.17%,8,1.08%,51,6.86%,Ward 2
3,353,3,0.85%,7,1.98%,17,4.82%,10,2.83%,42,11.90%,186,52.69%,42,11.90%,2,0.57%,44,12.46%,Ward 2
4,387,3,0.78%,5,1.29%,13,3.36%,11,2.84%,39,10.08%,217,56.07%,63,16.28%,0,0%,36,9.30%,Ward 2
5,509,6,1.18%,7,1.38%,10,1.96%,11,2.16%,50,9.82%,338,66.40%,48,9.43%,1,0.20%,38,7.47%,Ward 2
6,760,5,0.66%,12,1.58%,6,0.79%,18,2.37%,67,8.82%,469,61.71%,135,17.76%,0,0%,48,6.32%,Ward 2
7,671,1,0.15%,3,0.45%,14,2.09%,15,2.24%,42,6.26%,485,72.28%,65,9.69%,3,0.45%,43,6.41%,Ward 2
8,547,0,0%,3,0.55%,5,0.91%,7,1.28%,43,7.86%,391,71.48%,62,11.33%,0,0%,36,6.58%,Ward 2
9,715,5,0.70%,10,1.40%,7,0.98%,10,1.40%,58,8.11%,504,70.49%,66,9.23%,3,0.42%,52,7.27%,Ward 2
10,281,4,1.42%,3,1.07%,5,1.78%,11,3.91%,26,9.25%,162,57.65%,41,14.59%,3,1.07%,26,9.25%,Ward 2
11,401,2,0.50%,6,1.50%,13,3.24%,12,2.99%,60,14.96%,223,55.61%,51,12.72%,2,0.50%,32,7.98%,Ward 2
12,417,4,0.96%,3,0.72%,5,1.20%,16,3.84%,59,14.15%,217,52.04%,67,16.07%,1,0.24%,45,10.79%,Ward 2
13,614,6,0.98%,7,1.14%,18,2.93%,13,2.12%,76,12.38%,388,63.19%,48,7.82%,1,0.16%,57,9.28%,Ward 2
14,374,5,1.34%,5,1.34%,12,3.21%,12,3.21%,50,13.37%,224,59.89%,32,8.56%,1,0.27%,33,8.82%,Ward 2
15,556,7,1.26%,10,1.80%,9,1.62%,6,1.08%,40,7.19%,382,68.71%,54,9.71%,4,0.72%,44,7.91%,Ward 2
16,636,5,0.79%,9,1.42%,15,2.36%,20,3.14%,49,7.70%,429,67.45%,70,11.01%,0,0%,39,6.13%,Ward 2
17,802,10,1.25%,10,1.25%,19,2.37%,21,2.62%,105,13.09%,481,59.98%,84,10.47%,1,0.12%,71,8.85%,Ward 2
18,418,10,2.39%,4,0.96%,17,4.07%,12,2.87%,79,18.90%,222,53.11%,38,9.09%,1,0.24%,35,8.37%,Ward 2
19,263,4,1.52%,3,1.14%,5,1.90%,5,1.90%,31,11.79%,157,59.70%,25,9.51%,1,0.38%,32,12.17%,Ward 2
20,360,2,0.56%,4,1.11%,8,2.22%,9,2.50%,41,11.39%,240,66.67%,28,7.78%,2,0.56%,26,7.22%,Ward 2
21,120,2,1.67%,3,2.50%,4,3.33%,1,0.83%,21,17.50%,72,60.00%,9,7.50%,0,0%,8,6.67%,Ward 2
22,381,4,1.05%,8,2.10%,17,4.46%,16,4.20%,59,15.49%,196,51.44%,42,11.02%,0,0%,39,10.24%,Ward 2
23,397,7,1.76%,9,2.27%,2,0.50%,13,3.27%,69,17.38%,195,49.12%,69,17.38%,0,0%,33,8.31%,Ward 2
24,364,0,0%,9,2.47%,13,3.57%,3,0.82%,50,13.74%,215,59.07%,37,10.16%,2,0.55%,35,9.62%,Ward 2
25,550,5,0.91%,5,0.91%,14,2.55%,12,2.18%,88,16.00%,346,62.91%,40,7.27%,4,0.73%,36,6.55%,Ward 2
1,464,26,5.60%,12,2.59%,6,1.29%,71,15.30%,126,27.16%,45,9.70%,163,35.13%,2,0.43%,13,2.80%,Ward 3
2,559,30,5.37%,16,2.86%,6,1.07%,120,21.47%,105,18.78%,48,8.59%,203,36.31%,3,0.54%,28,5.01%,Ward 3
3,362,14,3.87%,9,2.49%,16,4.42%,48,13.26%,69,19.06%,90,24.86%,85,23.48%,2,0.55%,29,8.01%,Ward 3
4,375,17,4.53%,15,4.00%,14,3.73%,38,10.13%,117,31.20%,43,11.47%,112,29.87%,6,1.60%,13,3.47%,Ward 3
5,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 3
6,431,19,4.41%,9,2.09%,10,2.32%,34,7.89%,84,19.49%,115,26.68%,120,27.84%,2,0.46%,38,8.82%,Ward 3
7,291,9,3.09%,12,4.12%,1,0.34%,77,26.46%,34,11.68%,38,13.06%,92,31.62%,2,0.69%,26,8.93%,Ward 3
8,381,21,5.51%,6,1.57%,6,1.57%,91,23.88%,94,24.67%,27,7.09%,119,31.23%,2,0.52%,15,3.94%,Ward 3
9,207,3,1.45%,4,1.93%,10,4.83%,11,5.31%,74,35.75%,54,26.09%,35,16.91%,0,0%,16,7.73%,Ward 3
10,315,1,0.32%,10,3.17%,11,3.49%,7,2.22%,58,18.41%,142,45.08%,48,15.24%,0,0%,38,12.06%,Ward 3
11,543,43,7.92%,11,2.03%,10,1.84%,114,20.99%,121,22.28%,49,9.02%,176,32.41%,3,0.55%,16,2.95%,Ward 3
12,519,23,4.43%,10,1.93%,9,1.73%,80,15.41%,121,23.31%,40,7.71%,206,39.69%,3,0.58%,27,5.20%,Ward 3
13,670,9,1.34%,29,4.33%,20,2.99%,17,2.54%,97,14.48%,314,46.87%,119,17.76%,3,0.45%,62,9.25%,Ward 3
14,593,11,1.85%,15,2.53%,19,3.20%,13,2.19%,157,26.48%,227,38.28%,82,13.83%,4,0.67%,65,10.96%,Ward 3
15,400,21,5.25%,10,2.50%,5,1.25%,99,24.75%,98,24.50%,35,8.75%,115,28.75%,0,0%,17,4.25%,Ward 3
16,305,5,1.64%,9,2.95%,7,2.30%,52,17.05%,45,14.75%,65,21.31%,100,32.79%,1,0.33%,21,6.89%,Ward 3
17,143,6,4.20%,3,2.10%,2,1.40%,38,26.57%,20,13.99%,8,5.59%,62,43.36%,1,0.70%,3,2.10%,Ward 3
18,146,11,7.53%,1,0.68%,2,1.37%,38,26.03%,27,18.49%,11,7.53%,41,28.08%,0,0%,15,10.27%,Ward 3
19,694,6,0.86%,12,1.73%,26,3.75%,10,1.44%,99,14.27%,352,50.72%,126,18.16%,2,0.29%,61,8.79%,Ward 3
20,522,23,4.41%,8,1.53%,10,1.92%,91,17.43%,126,24.14%,47,9.00%,187,35.82%,4,0.77%,26,4.98%,Ward 3
21,375,9,2.40%,6,1.60%,10,2.67%,20,5.33%,81,21.60%,129,34.40%,78,20.80%,0,0%,42,11.20%,Ward 3
22,337,10,2.97%,5,1.48%,13,3.86%,26,7.72%,101,29.97%,78,23.15%,81,24.04%,0,0%,23,6.82%,Ward 3
23,189,6,3.17%,6,3.17%,1,0.53%,38,20.11%,39,20.63%,32,16.93%,56,29.63%,1,0.53%,10,5.29%,Ward 3
24,93,5,5.38%,2,2.15%,1,1.08%,29,31.18%,21,22.58%,9,9.68%,24,25.81%,0,0%,2,2.15%,Ward 3
25,693,9,1.30%,12,1.73%,17,2.45%,14,2.02%,75,10.82%,397,57.29%,98,14.14%,5,0.72%,66,9.52%,Ward 3
26,272,23,8.46%,9,3.31%,10,3.68%,68,25.00%,41,15.07%,28,10.29%,77,28.31%,1,0.37%,15,5.51%,Ward 3
27,575,6,1.04%,7,1.22%,41,7.13%,15,2.61%,100,17.39%,263,45.74%,87,15.13%,3,0.52%,53,9.22%,Ward 3
1,604,13,2.15%,25,4.14%,23,3.81%,49,8.11%,268,44.37%,54,8.94%,103,17.05%,3,0.50%,66,10.93%,Ward 4
2,273,9,3.30%,23,8.42%,2,0.73%,27,9.89%,91,33.33%,33,12.09%,67,24.54%,3,1.10%,18,6.59%,Ward 4
3,449,8,1.78%,52,11.58%,14,3.12%,30,6.68%,140,31.18%,61,13.59%,101,22.49%,4,0.89%,39,8.69%,Ward 4
4,542,22,4.06%,31,5.72%,9,1.66%,97,17.90%,139,25.65%,48,8.86%,162,29.89%,8,1.48%,26,4.80%,Ward 4
5,244,6,2.46%,19,7.79%,2,0.82%,60,24.59%,52,21.31%,17,6.97%,81,33.20%,2,0.82%,5,2.05%,Ward 4
6,375,15,4.00%,41,10.93%,10,2.67%,31,8.27%,99,26.40%,42,11.20%,111,29.60%,1,0.27%,25,6.67%,Ward 4
7,297,8,2.69%,23,7.74%,4,1.35%,23,7.74%,94,31.65%,50,16.84%,72,24.24%,1,0.34%,22,7.41%,Ward 4
8,423,13,3.07%,29,6.86%,3,0.71%,45,10.64%,93,21.99%,46,10.87%,165,39.01%,6,1.42%,23,5.44%,Ward 4
9,422,28,6.64%,29,6.87%,8,1.90%,75,17.77%,117,27.73%,27,6.40%,120,28.44%,5,1.18%,13,3.08%,Ward 4
10,390,21,5.38%,32,8.21%,11,2.82%,47,12.05%,102,26.15%,33,8.46%,121,31.03%,1,0.26%,22,5.64%,Ward 4
11,511,22,4.31%,36,7.05%,17,3.33%,49,9.59%,158,30.92%,44,8.61%,153,29.94%,3,0.59%,29,5.68%,Ward 4
12,346,15,4.34%,32,9.25%,6,1.73%,30,8.67%,76,21.97%,48,13.87%,118,34.10%,2,0.58%,19,5.49%,Ward 4
13,381,16,4.20%,20,5.25%,4,1.05%,101,26.51%,69,18.11%,31,8.14%,125,32.81%,0,0%,15,3.94%,Ward 4
14,349,10,2.87%,27,7.74%,9,2.58%,54,15.47%,89,25.50%,34,9.74%,104,29.80%,1,0.29%,21,6.02%,Ward 4
15,317,12,3.79%,15,4.73%,8,2.52%,40,12.62%,98,30.91%,32,10.09%,90,28.39%,2,0.63%,20,6.31%,Ward 4
16,449,23,5.12%,32,7.13%,11,2.45%,100,22.27%,104,23.16%,37,8.24%,116,25.84%,3,0.67%,23,5.12%,Ward 4
17,586,29,4.95%,41,7.00%,8,1.37%,131,22.35%,109,18.60%,52,8.87%,195,33.28%,2,0.34%,19,3.24%,Ward 4
18,178,18,10.11%,7,3.93%,6,3.37%,62,34.83%,20,11.24%,11,6.18%,46,25.84%,1,0.56%,7,3.93%,Ward 4
19,408,10,2.45%,16,3.92%,11,2.70%,42,10.29%,99,24.26%,78,19.12%,131,32.11%,0,0%,21,5.15%,Ward 4
20,518,18,3.47%,27,5.21%,12,2.32%,62,11.97%,111,21.43%,68,13.13%,190,36.68%,8,1.54%,22,4.25%,Ward 4
21,351,13,3.70%,27,7.69%,2,0.57%,42,11.97%,73,20.80%,43,12.25%,126,35.90%,3,0.85%,22,6.27%,Ward 4
22,173,3,1.73%,9,5.20%,3,1.73%,28,16.18%,30,17.34%,24,13.87%,63,36.42%,0,0%,13,7.51%,Ward 4
23,307,6,1.95%,16,5.21%,8,2.61%,40,13.03%,44,14.33%,60,19.54%,110,35.83%,2,0.65%,21,6.84%,Ward 4
24,645,20,3.10%,36,5.58%,10,1.55%,96,14.88%,104,16.12%,90,13.95%,255,39.53%,3,0.47%,31,4.81%,Ward 4
25,666,12,1.80%,15,2.25%,26,3.90%,22,3.30%,118,17.72%,285,42.79%,118,17.72%,3,0.45%,67,10.06%,Ward 4
26,684,8,1.17%,32,4.68%,21,3.07%,22,3.22%,96,14.04%,292,42.69%,147,21.49%,2,0.29%,64,9.36%,Ward 4
27,488,16,3.28%,15,3.07%,35,7.17%,18,3.69%,135,27.66%,118,24.18%,81,16.60%,1,0.20%,69,14.14%,Ward 4
28,618,13,2.10%,15,2.43%,27,4.37%,15,2.43%,167,27.02%,213,34.47%,102,16.50%,2,0.32%,64,10.36%,Ward 4
1,479,15,3.13%,13,2.71%,4,0.84%,90,18.79%,100,20.88%,35,7.31%,192,40.08%,1,0.21%,29,6.05%,Ward 5
2,526,12,2.28%,14,2.66%,0,0%,85,16.16%,103,19.58%,52,9.89%,237,45.06%,2,0.38%,21,3.99%,Ward 5
3,505,20,3.96%,12,2.38%,4,0.79%,91,18.02%,113,22.38%,51,10.10%,189,37.43%,1,0.20%,24,4.75%,Ward 5
4,439,24,5.47%,10,2.28%,7,1.59%,89,20.27%,82,18.68%,41,9.34%,159,36.22%,7,1.59%,20,4.56%,Ward 5
5,176,3,1.70%,7,3.98%,4,2.27%,20,11.36%,39,22.16%,26,14.77%,68,38.64%,0,0%,9,5.11%,Ward 5
6,233,9,3.86%,5,2.15%,5,2.15%,50,21.46%,39,16.74%,24,10.30%,84,36.05%,3,1.29%,14,6.01%,Ward 5
7,95,6,6.32%,0,0%,1,1.05%,20,21.05%,15,15.79%,12,12.63%,38,40.00%,1,1.05%,2,2.11%,Ward 5
8,150,4,2.67%,0,0%,3,2.00%,42,28.00%,26,17.33%,16,10.67%,51,34.00%,2,1.33%,6,4.00%,Ward 5
9,145,7,4.83%,8,5.52%,2,1.38%,33,22.76%,23,15.86%,18,12.41%,49,33.79%,1,0.69%,4,2.76%,Ward 5
10,178,10,5.62%,1,0.56%,5,2.81%,33,18.54%,36,20.22%,10,5.62%,69,38.76%,7,3.93%,7,3.93%,Ward 5
11,296,23,7.77%,7,2.36%,3,1.01%,66,22.30%,56,18.92%,32,10.81%,97,32.77%,3,1.01%,9,3.04%,Ward 5
12,491,3,0.61%,15,3.05%,7,1.43%,21,4.28%,154,31.36%,94,19.14%,135,27.49%,4,0.81%,58,11.81%,Ward 5
13,245,17,6.94%,5,2.04%,2,0.82%,54,22.04%,52,21.22%,15,6.12%,89,36.33%,1,0.41%,10,4.08%,Ward 5
14,270,10,3.70%,2,0.74%,3,1.11%,67,24.81%,53,19.63%,29,10.74%,94,34.81%,1,0.37%,11,4.07%,Ward 5
15,729,12,1.65%,19,2.61%,24,3.29%,57,7.82%,263,36.08%,110,15.09%,169,23.18%,1,0.14%,74,10.15%,Ward 5
16,400,12,3.00%,8,2.00%,13,3.25%,17,4.25%,137,34.25%,74,18.50%,102,25.50%,3,0.75%,34,8.50%,Ward 5
17,333,12,3.60%,13,3.90%,6,1.80%,25,7.51%,105,31.53%,43,12.91%,99,29.73%,1,0.30%,29,8.71%,Ward 5
18,657,16,2.44%,31,4.72%,9,1.37%,52,7.91%,155,23.59%,110,16.74%,226,34.40%,4,0.61%,54,8.22%,Ward 5
19,361,4,1.11%,17,4.71%,3,0.83%,29,8.03%,71,19.67%,64,17.73%,143,39.61%,6,1.66%,24,6.65%,Ward 5
20,434,13,3.00%,20,4.61%,6,1.38%,31,7.14%,178,41.01%,50,11.52%,105,24.19%,3,0.69%,28,6.45%,Ward 5
21,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 5
22,427,9,2.11%,16,3.75%,8,1.87%,21,4.92%,203,47.54%,40,9.37%,90,21.08%,3,0.70%,37,8.67%,Ward 5
23,234,6,2.56%,4,1.71%,6,2.56%,13,5.56%,52,22.22%,51,21.79%,69,29.49%,1,0.43%,32,13.68%,Ward 5
24,245,13,5.31%,10,4.08%,7,2.86%,3,1.22%,93,37.96%,43,17.55%,38,15.51%,0,0%,38,15.51%,Ward 5
25,604,11,1.82%,26,4.30%,15,2.48%,12,1.99%,239,39.57%,104,17.22%,127,21.03%,3,0.50%,67,11.09%,Ward 5
1,186,9,4.84%,4,2.15%,0,0%,79,42.47%,24,12.90%,11,5.91%,52,27.96%,0,0%,7,3.76%,Ward 6
2,235,8,3.40%,2,0.85%,5,2.13%,87,37.02%,21,8.94%,19,8.09%,82,34.89%,0,0%,11,4.68%,Ward 6
3,64,3,4.69%,2,3.13%,0,0%,19,29.69%,7,10.94%,7,10.94%,24,37.50%,1,1.56%,1,1.56%,Ward 6
4,161,10,6.21%,2,1.24%,3,1.86%,39,24.22%,21,13.04%,12,7.45%,64,39.75%,6,3.73%,4,2.48%,Ward 6
5,205,13,6.34%,2,0.98%,1,0.49%,68,33.17%,20,9.76%,19,9.27%,71,34.63%,6,2.93%,5,2.44%,Ward 6
6,276,23,8.33%,3,1.09%,0,0%,58,21.01%,47,17.03%,26,9.42%,108,39.13%,5,1.81%,6,2.17%,Ward 6
7,312,8,2.56%,0,0%,2,0.64%,81,25.96%,51,16.35%,22,7.05%,127,40.71%,5,1.60%,16,5.13%,Ward 6
8,225,14,6.22%,4,1.78%,1,0.44%,57,25.33%,40,17.78%,24,10.67%,74,32.89%,4,1.78%,7,3.11%,Ward 6
9,479,20,4.18%,9,1.88%,0,0%,91,19.00%,81,16.91%,45,9.39%,185,38.62%,34,7.10%,14,2.92%,Ward 6
10,291,17,5.84%,4,1.37%,7,2.41%,89,30.58%,34,11.68%,14,4.81%,109,37.46%,6,2.06%,11,3.78%,Ward 6
11,118,3,2.54%,0,0%,1,0.85%,34,28.81%,18,15.25%,9,7.63%,43,36.44%,5,4.24%,5,4.24%,Ward 6
12,313,11,3.51%,4,1.28%,3,0.96%,76,24.28%,51,16.29%,24,7.67%,129,41.21%,7,2.24%,8,2.56%,Ward 6
13,426,18,4.23%,8,1.88%,2,0.47%,74,17.37%,105,24.65%,48,11.27%,132,30.99%,21,4.93%,18,4.23%,Ward 6
14,403,11,2.73%,4,0.99%,5,1.24%,98,24.32%,77,19.11%,34,8.44%,151,37.47%,13,3.23%,10,2.48%,Ward 6
15,398,22,5.53%,6,1.51%,4,1.01%,102,25.63%,80,20.10%,40,10.05%,118,29.65%,16,4.02%,10,2.51%,Ward 6
16,243,15,6.17%,6,2.47%,1,0.41%,58,23.87%,35,14.40%,23,9.47%,92,37.86%,5,2.06%,8,3.29%,Ward 6
17,541,37,6.84%,12,2.22%,10,1.85%,99,18.30%,109,20.15%,38,7.02%,189,34.94%,20,3.70%,27,4.99%,Ward 6
18,540,27,5.00%,5,0.93%,10,1.85%,116,21.48%,95,17.59%,60,11.11%,203,37.59%,16,2.96%,8,1.48%,Ward 6
19,378,18,4.76%,6,1.59%,2,0.53%,102,26.98%,53,14.02%,35,9.26%,140,37.04%,6,1.59%,16,4.23%,Ward 6
20,620,24,3.87%,7,1.13%,7,1.13%,100,16.13%,116,18.71%,52,8.39%,270,43.55%,12,1.94%,32,5.16%,Ward 6
21,456,13,2.85%,9,1.97%,12,2.63%,101,22.15%,86,18.86%,32,7.02%,178,39.04%,13,2.85%,12,2.63%,Ward 6
22,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 6
23,586,22,3.75%,9,1.54%,10,1.71%,114,19.45%,104,17.75%,55,9.39%,241,41.13%,18,3.07%,13,2.22%,Ward 6
24,534,20,3.75%,9,1.69%,8,1.50%,108,20.22%,102,19.10%,55,10.30%,204,38.20%,13,2.43%,15,2.81%,Ward 6
25,411,13,3.16%,12,2.92%,5,1.22%,66,16.06%,102,24.82%,37,9.00%,160,38.93%,10,2.43%,6,1.46%,Ward 6
26,690,20,2.90%,13,1.88%,7,1.01%,120,17.39%,165,23.91%,63,9.13%,259,37.54%,10,1.45%,33,4.78%,Ward 6
27,625,28,4.48%,13,2.08%,8,1.28%,101,16.16%,135,21.60%,53,8.48%,254,40.64%,9,1.44%,24,3.84%,Ward 6
1,413,22,5.33%,11,2.66%,3,0.73%,88,21.31%,88,21.31%,35,8.47%,147,35.59%,3,0.73%,16,3.87%,Ward 7
2,576,17,2.95%,18,3.13%,16,2.78%,102,17.71%,118,20.49%,45,7.81%,245,42.53%,3,0.52%,12,2.08%,Ward 7
3,329,19,5.78%,6,1.82%,2,0.61%,100,30.40%,60,18.24%,26,7.90%,103,31.31%,1,0.30%,12,3.65%,Ward 7
4,355,8,2.25%,6,1.69%,5,1.41%,66,18.59%,65,18.31%,34,9.58%,153,43.10%,3,0.85%,15,4.23%,Ward 7
5,503,18,3.58%,11,2.19%,7,1.39%,77,15.31%,110,21.87%,57,11.33%,188,37.38%,2,0.40%,33,6.56%,Ward 7
6,118,6,5.08%,5,4.24%,1,0.85%,23,19.49%,16,13.56%,14,11.86%,47,39.83%,0,0%,6,5.08%,Ward 7
7,248,15,6.05%,7,2.82%,0,0%,48,19.35%,30,12.10%,25,10.08%,111,44.76%,3,1.21%,9,3.63%,Ward 7
8,195,11,5.64%,0,0%,0,0%,47,24.10%,35,17.95%,21,10.77%,71,36.41%,1,0.51%,9,4.62%,Ward 7
9,306,17,5.56%,4,1.31%,3,0.98%,88,28.76%,52,16.99%,25,8.17%,97,31.70%,2,0.65%,18,5.88%,Ward 7
10,427,25,5.85%,7,1.64%,6,1.41%,67,15.69%,100,23.42%,30,7.03%,164,38.41%,4,0.94%,24,5.62%,Ward 7
11,373,16,4.29%,5,1.34%,5,1.34%,65,17.43%,77,20.64%,38,10.19%,152,40.75%,4,1.07%,11,2.95%,Ward 7
12,485,14,2.89%,11,2.27%,2,0.41%,112,23.09%,90,18.56%,30,6.19%,205,42.27%,3,0.62%,18,3.71%,Ward 7
13,319,13,4.08%,1,0.31%,3,0.94%,63,19.75%,57,17.87%,32,10.03%,117,36.68%,2,0.63%,31,9.72%,Ward 7
14,297,15,5.05%,2,0.67%,5,1.68%,59,19.87%,41,13.80%,40,13.47%,102,34.34%,2,0.67%,31,10.44%,Ward 7
15,397,18,4.53%,9,2.27%,1,0.25%,101,25.44%,60,15.11%,31,7.81%,159,40.05%,2,0.50%,16,4.03%,Ward 7
16,147,5,3.40%,2,1.36%,0,0%,41,27.89%,17,11.56%,14,9.52%,57,38.78%,2,1.36%,9,6.12%,Ward 7
17,118,9,7.63%,0,0%,3,2.54%,20,16.95%,15,12.71%,17,14.41%,37,31.36%,1,0.85%,16,13.56%,Ward 7
18,102,5,4.90%,1,0.98%,1,0.98%,43,42.16%,7,6.86%,10,9.80%,26,25.49%,0,0%,9,8.82%,Ward 7
19,586,15,2.56%,15,2.56%,0,0%,97,16.55%,111,18.94%,80,13.65%,246,41.98%,7,1.19%,15,2.56%,Ward 7
20,310,13,4.19%,2,0.65%,0,0%,57,18.39%,63,20.32%,24,7.74%,118,38.06%,5,1.61%,28,9.03%,Ward 7
21,225,9,4.00%,10,4.44%,0,0%,22,9.78%,41,18.22%,17,7.56%,109,48.44%,3,1.33%,14,6.22%,Ward 7
22,282,5,1.77%,5,1.77%,3,1.06%,55,19.50%,46,16.31%,37,13.12%,114,40.43%,2,0.71%,15,5.32%,Ward 7
23,181,7,3.87%,0,0%,1,0.55%,43,23.76%,25,13.81%,15,8.29%,74,40.88%,2,1.10%,14,7.73%,Ward 7
24,66,0,0%,0,0%,0,0%,10,15.15%,9,13.64%,18,27.27%,18,27.27%,0,0%,11,16.67%,Ward 7
25,305,12,3.93%,6,1.97%,1,0.33%,70,22.95%,44,14.43%,30,9.84%,135,44.26%,1,0.33%,6,1.97%,Ward 7
26,430,14,3.26%,9,2.09%,0,0%,99,23.02%,67,15.58%,43,10.00%,170,39.53%,3,0.70%,25,5.81%,Ward 7
27,260,9,3.46%,2,0.77%,2,0.77%,63,24.23%,52,20.00%,26,10.00%,91,35.00%,3,1.15%,12,4.62%,Ward 7
28,130,3,2.31%,0,0%,1,0.77%,30,23.08%,17,13.08%,13,10.00%,62,47.69%,1,0.77%,3,2.31%,Ward 7
29,238,9,3.78%,2,0.84%,2,0.84%,50,21.01%,40,16.81%,20,8.40%,101,42.44%,1,0.42%,13,5.46%,Ward 7
30,203,8,3.94%,4,1.97%,0,0%,62,30.54%,26,12.81%,9,4.43%,85,41.87%,0,0%,9,4.43%,Ward 7
31,96,2,2.08%,2,2.08%,1,1.04%,26,27.08%,12,12.50%,12,12.50%,36,37.50%,1,1.04%,4,4.17%,Ward 7
1,491,27,5.50%,7,1.43%,1,0.20%,124,25.25%,90,18.33%,37,7.54%,185,37.68%,3,0.61%,17,3.46%,Ward 8
2,238,10,4.20%,4,1.68%,0,0%,53,22.27%,43,18.07%,27,11.34%,89,37.39%,7,2.94%,5,2.10%,Ward 8
